Skill	EntityID
0-1 drop indicators	ONET:0-1DropIndicators
1003 Uniform Residential Loan Application	ONET:1003UniformResidentialLoanApplication
100-foot measuring tapes	ONET:100-footMeasuringTapes
100 Plus Hatch Pattern Library	ONET:100PlusHatchPatternLibrary
1099 ProsSoftware	ONET:1099ProsSoftware
10-key calculators	ONET:10-keyCalculators
10 ml pipettes	ONET:10MlPipettes
10-ton crawlers	ONET:10-tonCrawlers
10-ton tandem-axle dump trucks	ONET:10-tonTandem-axleDumpTrucks
1-2-3 blocks	ONET:1-2-3Blocks
12-gauge shotguns	ONET:12-gaugeShotguns
12-inch aluminum Kemper calipers	ONET:12-inchAluminumKemperCalipers
12 pound sledge hammers	ONET:12PoundSledgeHammers
13000-23000 pound graders	ONET:13000-23000PoundGraders
13C nuclear magnetic resonance NMR spectrometers	ONET:13CNuclearMagneticResonanceNMRSpectrometers
1/3 octave equalizers	ONET:1/3OctaveEqualizers
15/16 wrenches	ONET:15/16Wrenches
15-ton truck cranes	ONET:15-tonTruckCranes
16mm motion picture projectors	ONET:16mmMotionPictureProjectors
16 pound sledge hammers	ONET:16PoundSledgeHammers
18-ton hydraulic cranes	ONET:18-tonHydraulicCranes
1CadCam Unigraphics	ONET:1CadCamUnigraphics
1 ml pipettes	ONET:1MlPipettes
1ST Pricing Window & Door Toolkit	ONET:1STPricingWindow&DoorToolkit
20-20 Technologies 20-20 Design	ONET:20-20Technologies20-20Design
20-ton tractors	ONET:20-tonTractors
22-gauge needles	ONET:22-gaugeNeedles
23	ONET:23
2/3 axis computer numerically controlled CNC milling machines	ONET:2/3AxisComputerNumericallyControlledCNCMillingMachines
24SevenOffice Project	ONET:24SevenOfficeProject
25 ml pipettes	ONET:25MlPipettes
2AB iLock Security Services	ONET:2ABILockSecurityServices
2-channel lab scopes	ONET:2-channelLabScopes
2 ml cryovials	ONET:2MlCryovials
2-point sprayers	ONET:2-pointSprayers
2-prong strainers	ONET:2-prongStrainers
30-ton clam buckets	ONET:30-tonClamBuckets
3 4 and 5 stopcock manifolds	ONET:3,4,And5StopcockManifolds
35 millimeter cameras	ONET:35MillimeterCameras
35m petri dishes	ONET:35mPetriDishes
360 Analytics eQUEST	ONET:360AnalyticsEQUEST
3-axis computerized numerical control CNC machines	ONET:3-axisComputerizedNumericalControlCNCMachines
3-axis computer numerically controlled CNC milling machines	ONET:3-axisComputerNumericallyControlledCNCMillingMachines
3D graphic design software	ONET:3DGraphicDesignSoftware
3D graphics software	ONET:3DGraphicsSoftware
3DGrid HIPAA Checkup	ONET:3DGridHIPAACheckup
3D laser scanning systems	ONET:3DLaserScanningSystems
3dMapper	ONET:3dMapper
3D motion analysis software	ONET:3DMotionAnalysisSoftware
3D movement analysis systems	ONET:3DMovementAnalysisSystems
3D Nature LLC Visual Nature Studio	ONET:3DNatureLLCVisualNatureStudio
3D Nature LLC World Construction Set	ONET:3DNatureLLCWorldConstructionSet
3D Printing software	ONET:3DPrintingSoftware
3D scanning systems	ONET:3DScanningSystems
